Class,NominalLambdaMax,LambdaMaxShiftMin,LambdaMaxShiftMax,targetAge,ageRangeMin,ageRangeMax,targetContrast,measuredTargetContrast,meanContrast,stdContrast,meanAbsContrast,stdAbsContrast,minContrast,maxContrast,expectedValue
Melanopsin,480.00,-10.00,10.00,5.00,1.00,80.00,0.20000,0.20141,0.19482,0.00804,0.20116,0.00804,0.18566,0.21547,0.20126
LCone,558.90,-10.00,10.00,6.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00316,0.00269,0.00166,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,6.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00224,0.00331,0.00218,-0.00065,0.00771,0.00327
SCone,420.70,-10.00,10.00,6.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00632,0.00569,0.00363,-0.01322,0.00919,0.00447
Melanopsin,480.00,-10.00,10.00,6.00,1.00,80.00,0.20000,0.20141,0.19482,0.00806,0.20116,0.00806,0.18566,0.21547,0.20126
LCone,558.90,-10.00,10.00,7.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00317,0.00270,0.00166,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,7.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00225,0.00329,0.00219,-0.00065,0.00771,0.00326
SCone,420.70,-10.00,10.00,7.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00635,0.00571,0.00363,-0.01322,0.00919,0.00447
Melanopsin,480.00,-10.00,10.00,7.00,1.00,80.00,0.20000,0.20141,0.19482,0.00808,0.20115,0.00808,0.18566,0.21547,0.20125
LCone,558.90,-10.00,10.00,8.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00317,0.00271,0.00166,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,8.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00226,0.00326,0.00220,-0.00065,0.00771,0.00325
SCone,420.70,-10.00,10.00,8.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00638,0.00572,0.00364,-0.01322,0.00919,0.00447
Melanopsin,480.00,-10.00,10.00,8.00,1.00,80.00,0.20000,0.20141,0.19482,0.00809,0.20113,0.00809,0.18566,0.21547,0.20125
LCone,558.90,-10.00,10.00,9.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00317,0.00271,0.00166,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,9.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00226,0.00322,0.00220,-0.00065,0.00771,0.00324
SCone,420.70,-10.00,10.00,9.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00637,0.00571,0.00363,-0.01322,0.00919,0.00447
Melanopsin,480.00,-10.00,10.00,9.00,1.00,80.00,0.20000,0.20141,0.19482,0.00809,0.20112,0.00809,0.18566,0.21547,0.20124
LCone,558.90,-10.00,10.00,10.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00317,0.00270,0.00165,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,10.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00227,0.00318,0.00221,-0.00065,0.00771,0.00323
SCone,420.70,-10.00,10.00,10.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00637,0.00570,0.00362,-0.01322,0.00919,0.00446
Melanopsin,480.00,-10.00,10.00,10.00,1.00,80.00,0.20000,0.20141,0.19482,0.00807,0.20110,0.00807,0.18566,0.21547,0.20124
LCone,558.90,-10.00,10.00,11.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00316,0.00270,0.00164,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,11.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00228,0.00314,0.00222,-0.00065,0.00771,0.00321
SCone,420.70,-10.00,10.00,11.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00636,0.00569,0.00361,-0.01322,0.00919,0.00446
Melanopsin,480.00,-10.00,10.00,11.00,1.00,80.00,0.20000,0.20141,0.19482,0.00805,0.20108,0.00805,0.18566,0.21547,0.20123
LCone,558.90,-10.00,10.00,12.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00315,0.00269,0.00164,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,12.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00229,0.00309,0.00221,-0.00069,0.00771,0.00318
SCone,420.70,-10.00,10.00,12.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00635,0.00567,0.00359,-0.01322,0.00919,0.00446
Melanopsin,480.00,-10.00,10.00,12.00,1.00,80.00,0.20000,0.20141,0.19482,0.00803,0.20106,0.00803,0.18566,0.21547,0.20121
LCone,558.90,-10.00,10.00,13.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00314,0.00268,0.00163,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,13.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00230,0.00305,0.00221,-0.00094,0.00771,0.00315
SCone,420.70,-10.00,10.00,13.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00633,0.00565,0.00357,-0.01322,0.00919,0.00445
Melanopsin,480.00,-10.00,10.00,13.00,1.00,80.00,0.20000,0.20141,0.19482,0.00799,0.20104,0.00799,0.18566,0.21547,0.20120
LCone,558.90,-10.00,10.00,14.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00312,0.00267,0.00163,-0.00524,0.00646,0.00196
MCone,530.30,-10.00,10.00,14.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00231,0.00300,0.00219,-0.00119,0.00771,0.00312
SCone,420.70,-10.00,10.00,14.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00631,0.00561,0.00355,-0.01322,0.00944,0.00445
Melanopsin,480.00,-10.00,10.00,14.00,1.00,80.00,0.20000,0.20141,0.19482,0.00796,0.20101,0.00796,0.18566,0.21547,0.20118
LCone,558.90,-10.00,10.00,15.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00311,0.00265,0.00162,-0.00524,0.00646,0.00196
MCone,530.30,-10.00,10.00,15.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00233,0.00296,0.00217,-0.00145,0.00771,0.00307
SCone,420.70,-10.00,10.00,15.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00628,0.00558,0.00354,-0.01322,0.00970,0.00444
Melanopsin,480.00,-10.00,10.00,15.00,1.00,80.00,0.20000,0.20141,0.19482,0.00792,0.20098,0.00792,0.18566,0.21547,0.20115
LCone,558.90,-10.00,10.00,16.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00309,0.00263,0.00162,-0.00524,0.00646,0.00196
MCone,530.30,-10.00,10.00,16.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00235,0.00291,0.00214,-0.00170,0.00771,0.00302
SCone,420.70,-10.00,10.00,16.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00627,0.00554,0.00352,-0.01322,0.00997,0.00444
Melanopsin,480.00,-10.00,10.00,16.00,1.00,80.00,0.20000,0.20141,0.19482,0.00788,0.20095,0.00788,0.18566,0.21547,0.20112
LCone,558.90,-10.00,10.00,17.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00308,0.00262,0.00162,-0.00527,0.00649,0.00197
MCone,530.30,-10.00,10.00,17.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00237,0.00287,0.00211,-0.00195,0.00771,0.00296
SCone,420.70,-10.00,10.00,17.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00625,0.00551,0.00351,-0.01322,0.01023,0.00443
Melanopsin,480.00,-10.00,10.00,17.00,1.00,80.00,0.20000,0.20141,0.19482,0.00785,0.20091,0.00785,0.18549,0.21547,0.20109
LCone,558.90,-10.00,10.00,18.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00308,0.00261,0.00163,-0.00530,0.00652,0.00197
MCone,530.30,-10.00,10.00,18.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00241,0.00283,0.00208,-0.00220,0.00771,0.00289
SCone,420.70,-10.00,10.00,18.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00625,0.00549,0.00350,-0.01322,0.01051,0.00442
Melanopsin,480.00,-10.00,10.00,18.00,1.00,80.00,0.20000,0.20141,0.19482,0.00784,0.20087,0.00784,0.18531,0.21547,0.20105
LCone,558.90,-10.00,10.00,19.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00308,0.00262,0.00163,-0.00533,0.00656,0.00197
MCone,530.30,-10.00,10.00,19.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00245,0.00278,0.00205,-0.00245,0.00771,0.00282
SCone,420.70,-10.00,10.00,19.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00628,0.00549,0.00350,-0.01322,0.01079,0.00441
Melanopsin,480.00,-10.00,10.00,19.00,1.00,80.00,0.20000,0.20141,0.19482,0.00786,0.20082,0.00786,0.18514,0.21547,0.20100
LCone,558.90,-10.00,10.00,20.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00309,0.00262,0.00164,-0.00536,0.00660,0.00198
MCone,530.30,-10.00,10.00,20.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00250,0.00274,0.00201,-0.00270,0.00771,0.00273
SCone,420.70,-10.00,10.00,20.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00632,0.00550,0.00349,-0.01322,0.01107,0.00440
Melanopsin,480.00,-10.00,10.00,20.00,1.00,80.00,0.20000,0.20141,0.19482,0.00788,0.20076,0.00788,0.18496,0.21547,0.20095
LCone,558.90,-10.00,10.00,21.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00310,0.00263,0.00164,-0.00539,0.00664,0.00198
MCone,530.30,-10.00,10.00,21.00,1.00,80.00,0.00000,0.00294,-0.00164,0.00255,0.00270,0.00197,-0.00295,0.00771,0.00265
SCone,420.70,-10.00,10.00,21.00,1.00,80.00,0.00000,-0.00237,0.01156,0.00635,0.00551,0.00349,-0.01322,0.01136,0.00439
Melanopsin,480.00,-10.00,10.00,21.00,1.00,80.00,0.20000,0.20130,0.19482,0.00791,0.20070,0.00791,0.18478,0.21547,0.20089
LCone,558.90,-10.00,10.00,22.00,1.00,80.00,0.00000,-0.00007,0.00250,0.00311,0.00264,0.00165,-0.00542,0.00667,0.00199
MCone,530.30,-10.00,10.00,22.00,1.00,80.00,0.00000,0.00267,-0.00164,0.00260,0.00266,0.00193,-0.00319,0.00771,0.00256
SCone,420.70,-10.00,10.00,22.00,1.00,80.00,0.00000,-0.00218,0.01156,0.00639,0.00552,0.00349,-0.01322,0.01165,0.00439
Melanopsin,480.00,-10.00,10.00,22.00,1.00,80.00,0.20000,0.20120,0.19482,0.00793,0.20063,0.00793,0.18459,0.21547,0.20082
LCone,558.90,-10.00,10.00,23.00,1.00,80.00,0.00000,-0.00007,0.00250,0.00312,0.00265,0.00166,-0.00544,0.00671,0.00200
MCone,530.30,-10.00,10.00,23.00,1.00,80.00,0.00000,0.00240,-0.00164,0.00265,0.00263,0.00188,-0.00344,0.00771,0.00246
SCone,420.70,-10.00,10.00,23.00,1.00,80.00,0.00000,-0.00199,0.01156,0.00643,0.00554,0.00349,-0.01322,0.01194,0.00438
Melanopsin,480.00,-10.00,10.00,23.00,1.00,80.00,0.20000,0.20109,0.19482,0.00796,0.20056,0.00796,0.18441,0.21547,0.20074
LCone,558.90,-10.00,10.00,24.00,1.00,80.00,0.00000,-0.00007,0.00250,0.00313,0.00266,0.00166,-0.00547,0.00675,0.00201
MCone,530.30,-10.00,10.00,24.00,1.00,80.00,0.00000,0.00213,-0.00164,0.00269,0.00260,0.00184,-0.00368,0.00742,0.00237
SCone,420.70,-10.00,10.00,24.00,1.00,80.00,0.00000,-0.00178,0.01156,0.00648,0.00556,0.00350,-0.01322,0.01224,0.00437
Melanopsin,480.00,-10.00,10.00,24.00,1.00,80.00,0.20000,0.20097,0.19482,0.00799,0.20048,0.00799,0.18422,0.21547,0.20066
LCone,558.90,-10.00,10.00,25.00,1.00,80.00,0.00000,-0.00006,0.00250,0.00315,0.00267,0.00167,-0.00549,0.00680,0.00201
MCone,530.30,-10.00,10.00,25.00,1.00,80.00,0.00000,0.00186,-0.00164,0.00274,0.00257,0.00179,-0.00393,0.00727,0.00228
SCone,420.70,-10.00,10.00,25.00,1.00,80.00,0.00000,-0.00158,0.01156,0.00652,0.00558,0.00350,-0.01322,0.01255,0.00437
Melanopsin,480.00,-10.00,10.00,25.00,1.00,80.00,0.20000,0.20086,0.19482,0.00802,0.20040,0.00802,0.18403,0.21543,0.20057
LCone,558.90,-10.00,10.00,26.00,1.00,80.00,0.00000,-0.00006,0.00250,0.00316,0.00268,0.00168,-0.00552,0.00684,0.00202
MCone,530.30,-10.00,10.00,26.00,1.00,80.00,0.00000,0.00159,-0.00164,0.00279,0.00255,0.00174,-0.00417,0.00727,0.00219
SCone,420.70,-10.00,10.00,26.00,1.00,80.00,0.00000,-0.00137,0.01156,0.00657,0.00560,0.00351,-0.01322,0.01286,0.00437
Melanopsin,480.00,-10.00,10.00,26.00,1.00,80.00,0.20000,0.20074,0.19482,0.00805,0.20031,0.00805,0.18385,0.21540,0.20048
LCone,558.90,-10.00,10.00,27.00,1.00,80.00,0.00000,-0.00005,0.00250,0.00317,0.00269,0.00169,-0.00554,0.00688,0.00203
MCone,530.30,-10.00,10.00,27.00,1.00,80.00,0.00000,0.00132,-0.00164,0.00283,0.00253,0.00170,-0.00441,0.00727,0.00211
SCone,420.70,-10.00,10.00,27.00,1.00,80.00,0.00000,-0.00115,0.01156,0.00662,0.00563,0.00353,-0.01322,0.01317,0.00437
Melanopsin,480.00,-10.00,10.00,27.00,1.00,80.00,0.20000,0.20062,0.19482,0.00808,0.20022,0.00808,0.18365,0.21536,0.20038
LCone,558.90,-10.00,10.00,28.00,1.00,80.00,0.00000,-0.00004,0.00250,0.00319,0.00270,0.00170,-0.00556,0.00693,0.00204
MCone,530.30,-10.00,10.00,28.00,1.00,80.00,0.00000,0.00106,-0.00164,0.00287,0.00252,0.00166,-0.00466,0.00698,0.00204
SCone,420.70,-10.00,10.00,28.00,1.00,80.00,0.00000,-0.00093,0.01156,0.00667,0.00566,0.00355,-0.01310,0.01349,0.00438
Melanopsin,480.00,-10.00,10.00,28.00,1.00,80.00,0.20000,0.20050,0.19482,0.00812,0.20013,0.00812,0.18346,0.21533,0.20027
LCone,558.90,-10.00,10.00,29.00,1.00,80.00,0.00000,-0.00003,0.00250,0.00320,0.00271,0.00171,-0.00558,0.00697,0.00205
MCone,530.30,-10.00,10.00,29.00,1.00,80.00,0.00000,0.00079,-0.00164,0.00291,0.00252,0.00163,-0.00490,0.00684,0.00199
SCone,420.70,-10.00,10.00,29.00,1.00,80.00,0.00000,-0.00070,0.01156,0.00672,0.00570,0.00357,-0.01298,0.01381,0.00439
Melanopsin,480.00,-10.00,10.00,29.00,1.00,80.00,0.20000,0.20038,0.19482,0.00815,0.20002,0.00815,0.18326,0.21529,0.20016
LCone,558.90,-10.00,10.00,30.00,1.00,80.00,0.00000,-0.00002,0.00250,0.00322,0.00273,0.00172,-0.00560,0.00702,0.00206
MCone,530.30,-10.00,10.00,30.00,1.00,80.00,0.00000,0.00053,-0.00164,0.00294,0.00252,0.00160,-0.00514,0.00684,0.00195
SCone,420.70,-10.00,10.00,30.00,1.00,80.00,0.00000,-0.00047,0.01156,0.00678,0.00574,0.00360,-0.01286,0.01414,0.00441
Melanopsin,480.00,-10.00,10.00,30.00,1.00,80.00,0.20000,0.20025,0.19482,0.00819,0.19992,0.00819,0.18307,0.21525,0.20004
LCone,558.90,-10.00,10.00,31.00,1.00,80.00,0.00000,-0.00001,0.00250,0.00323,0.00274,0.00173,-0.00562,0.00706,0.00207
MCone,530.30,-10.00,10.00,31.00,1.00,80.00,0.00000,0.00026,-0.00164,0.00296,0.00252,0.00158,-0.00538,0.00655,0.00192
SCone,420.70,-10.00,10.00,31.00,1.00,80.00,0.00000,-0.00024,0.01156,0.00683,0.00578,0.00363,-0.01273,0.01447,0.00444
Melanopsin,480.00,-10.00,10.00,31.00,1.00,80.00,0.20000,0.20013,0.19482,0.00823,0.19981,0.00823,0.18287,0.21520,0.19993
LCone,558.90,-10.00,10.00,32.00,1.00,80.00,0.00000,0.00000,0.00250,0.00325,0.00275,0.00174,-0.00564,0.00711,0.00208
MCone,530.30,-10.00,10.00,32.00,1.00,80.00,0.00000,0.00000,-0.00164,0.00298,0.00253,0.00158,-0.00561,0.00642,0.00192
SCone,420.70,-10.00,10.00,32.00,1.00,80.00,0.00000,0.00000,0.01156,0.00688,0.00583,0.00367,-0.01259,0.01480,0.00447
Melanopsin,480.00,-10.00,10.00,32.00,1.00,80.00,0.20000,0.20000,0.19482,0.00827,0.19969,0.00827,0.18267,0.21516,0.19980
LCone,558.90,-10.00,10.00,33.00,1.00,80.00,0.00000,0.00001,0.00250,0.00327,0.00277,0.00175,-0.00566,0.00716,0.00209
MCone,530.30,-10.00,10.00,33.00,1.00,80.00,0.00000,-0.00026,-0.00164,0.00300,0.00255,0.00158,-0.00585,0.00613,0.00193
SCone,420.70,-10.00,10.00,33.00,1.00,80.00,0.00000,0.00024,0.01156,0.00694,0.00588,0.00372,-0.01245,0.01514,0.00451
Melanopsin,480.00,-10.00,10.00,33.00,1.00,80.00,0.20000,0.19987,0.19482,0.00831,0.19957,0.00831,0.18247,0.21511,0.19968
LCone,558.90,-10.00,10.00,34.00,1.00,80.00,0.00000,0.00003,0.00250,0.00328,0.00278,0.00176,-0.00567,0.00721,0.00210
MCone,530.30,-10.00,10.00,34.00,1.00,80.00,0.00000,-0.00052,-0.00164,0.00301,0.00258,0.00160,-0.00609,0.00585,0.00196
SCone,420.70,-10.00,10.00,34.00,1.00,80.00,0.00000,0.00049,0.01156,0.00699,0.00594,0.00377,-0.01231,0.01549,0.00455
Melanopsin,480.00,-10.00,10.00,34.00,1.00,80.00,0.20000,0.19974,0.19482,0.00834,0.19945,0.00834,0.18226,0.21506,0.19955
LCone,558.90,-10.00,10.00,35.00,1.00,80.00,0.00000,0.00004,0.00250,0.00330,0.00280,0.00177,-0.00569,0.00726,0.00211
MCone,530.30,-10.00,10.00,35.00,1.00,80.00,0.00000,-0.00078,-0.00164,0.00301,0.00261,0.00163,-0.00632,0.00556,0.00201
SCone,420.70,-10.00,10.00,35.00,1.00,80.00,0.00000,0.00075,0.01156,0.00704,0.00600,0.00383,-0.01216,0.01583,0.00461
Melanopsin,480.00,-10.00,10.00,35.00,1.00,80.00,0.20000,0.19960,0.19482,0.00838,0.19932,0.00838,0.18206,0.21501,0.19942
LCone,558.90,-10.00,10.00,36.00,1.00,80.00,0.00000,0.00006,0.00250,0.00332,0.00281,0.00178,-0.00570,0.00731,0.00213
MCone,530.30,-10.00,10.00,36.00,1.00,80.00,0.00000,-0.00104,-0.00164,0.00300,0.00266,0.00168,-0.00656,0.00528,0.00209
SCone,420.70,-10.00,10.00,36.00,1.00,80.00,0.00000,0.00101,0.01156,0.00709,0.00607,0.00389,-0.01200,0.01619,0.00467
Melanopsin,480.00,-10.00,10.00,36.00,1.00,80.00,0.20000,0.19947,0.19482,0.00842,0.19919,0.00842,0.18185,0.21495,0.19928
LCone,558.90,-10.00,10.00,37.00,1.00,80.00,0.00000,0.00007,0.00250,0.00334,0.00283,0.00179,-0.00572,0.00737,0.00214
MCone,530.30,-10.00,10.00,37.00,1.00,80.00,0.00000,-0.00130,-0.00164,0.00300,0.00271,0.00173,-0.00679,0.00500,0.00218
SCone,420.70,-10.00,10.00,37.00,1.00,80.00,0.00000,0.00127,0.01156,0.00714,0.00614,0.00397,-0.01184,0.01654,0.00475
Melanopsin,480.00,-10.00,10.00,37.00,1.00,80.00,0.20000,0.19933,0.19482,0.00846,0.19905,0.00846,0.18164,0.21490,0.19915
LCone,558.90,-10.00,10.00,38.00,1.00,80.00,0.00000,0.00009,0.00250,0.00335,0.00284,0.00180,-0.00573,0.00742,0.00215
MCone,530.30,-10.00,10.00,38.00,1.00,80.00,0.00000,-0.00156,-0.00164,0.00298,0.00278,0.00180,-0.00702,0.00472,0.00229
SCone,420.70,-10.00,10.00,38.00,1.00,80.00,0.00000,0.00154,0.01156,0.00718,0.00621,0.00405,-0.01168,0.01690,0.00483
Melanopsin,480.00,-10.00,10.00,38.00,1.00,80.00,0.20000,0.19919,0.19482,0.00850,0.19891,0.00850,0.18143,0.21484,0.19901
LCone,558.90,-10.00,10.00,39.00,1.00,80.00,0.00000,0.00011,0.00250,0.00337,0.00286,0.00182,-0.00574,0.00747,0.00216
MCone,530.30,-10.00,10.00,39.00,1.00,80.00,0.00000,-0.00182,-0.00164,0.00297,0.00286,0.00188,-0.00726,0.00443,0.00241
SCone,420.70,-10.00,10.00,39.00,1.00,80.00,0.00000,0.00181,0.01156,0.00723,0.00629,0.00414,-0.01151,0.01727,0.00492
Melanopsin,480.00,-10.00,10.00,39.00,1.00,80.00,0.20000,0.19905,0.19482,0.00853,0.19877,0.00853,0.18122,0.21478,0.19887
LCone,558.90,-10.00,10.00,40.00,1.00,80.00,0.00000,0.00013,0.00250,0.00339,0.00287,0.00183,-0.00575,0.00753,0.00217
MCone,530.30,-10.00,10.00,40.00,1.00,80.00,0.00000,-0.00207,-0.00164,0.00296,0.00295,0.00197,-0.00749,0.00415,0.00256
SCone,420.70,-10.00,10.00,40.00,1.00,80.00,0.00000,0.00208,0.01156,0.00728,0.00638,0.00424,-0.01133,0.01763,0.00503
Melanopsin,480.00,-10.00,10.00,40.00,1.00,80.00,0.20000,0.19890,0.19482,0.00857,0.19863,0.00857,0.18100,0.21472,0.19872
LCone,558.90,-10.00,10.00,41.00,1.00,80.00,0.00000,0.00015,0.00250,0.00341,0.00289,0.00184,-0.00576,0.00758,0.00219
MCone,530.30,-10.00,10.00,41.00,1.00,80.00,0.00000,-0.00233,-0.00164,0.00295,0.00306,0.00205,-0.00772,0.00388,0.00272
SCone,420.70,-10.00,10.00,41.00,1.00,80.00,0.00000,0.00236,0.01156,0.00732,0.00647,0.00434,-0.01115,0.01801,0.00514
Melanopsin,480.00,-10.00,10.00,41.00,1.00,80.00,0.20000,0.19876,0.19482,0.00861,0.19848,0.00861,0.18079,0.21465,0.19858
LCone,558.90,-10.00,10.00,42.00,1.00,80.00,0.00000,0.00017,0.00250,0.00342,0.00290,0.00185,-0.00577,0.00764,0.00220
MCone,530.30,-10.00,10.00,42.00,1.00,80.00,0.00000,-0.00258,-0.00164,0.00294,0.00318,0.00214,-0.00795,0.00360,0.00289
SCone,420.70,-10.00,10.00,42.00,1.00,80.00,0.00000,0.00265,0.01156,0.00737,0.00657,0.00445,-0.01097,0.01838,0.00527
Melanopsin,480.00,-10.00,10.00,42.00,1.00,80.00,0.20000,0.19861,0.19482,0.00865,0.19834,0.00865,0.18057,0.21459,0.19843
LCone,558.90,-10.00,10.00,43.00,1.00,80.00,0.00000,0.00019,0.00250,0.00344,0.00292,0.00186,-0.00578,0.00770,0.00221
MCone,530.30,-10.00,10.00,43.00,1.00,80.00,0.00000,-0.00284,-0.00164,0.00292,0.00331,0.00223,-0.00818,0.00332,0.00307
SCone,420.70,-10.00,10.00,43.00,1.00,80.00,0.00000,0.00294,0.01156,0.00742,0.00668,0.00457,-0.01078,0.01876,0.00541
Melanopsin,480.00,-10.00,10.00,43.00,1.00,80.00,0.20000,0.19846,0.19482,0.00868,0.19819,0.00868,0.18035,0.21452,0.19828
LCone,558.90,-10.00,10.00,44.00,1.00,80.00,0.00000,0.00021,0.00250,0.00346,0.00294,0.00188,-0.00578,0.00776,0.00222
MCone,530.30,-10.00,10.00,44.00,1.00,80.00,0.00000,-0.00309,-0.00164,0.00292,0.00346,0.00233,-0.00841,0.00304,0.00327
SCone,420.70,-10.00,10.00,44.00,1.00,80.00,0.00000,0.00323,0.01156,0.00747,0.00681,0.00469,-0.01058,0.01915,0.00556
Melanopsin,480.00,-10.00,10.00,44.00,1.00,80.00,0.20000,0.19831,0.19482,0.00872,0.19804,0.00872,0.18013,0.21445,0.19812
LCone,558.90,-10.00,10.00,45.00,1.00,80.00,0.00000,0.00024,0.00250,0.00348,0.00295,0.00189,-0.00579,0.00781,0.00224
MCone,530.30,-10.00,10.00,45.00,1.00,80.00,0.00000,-0.00334,-0.00164,0.00293,0.00362,0.00244,-0.00918,0.00277,0.00348
SCone,420.70,-10.00,10.00,45.00,1.00,80.00,0.00000,0.00353,0.01156,0.00753,0.00695,0.00483,-0.01039,0.01954,0.00573
Melanopsin,480.00,-10.00,10.00,45.00,1.00,80.00,0.20000,0.19816,0.19482,0.00876,0.19788,0.00876,0.17991,0.21437,0.19797
