Class,NominalLambdaMax,LambdaMaxShiftMin,LambdaMaxShiftMax,targetAge,ageRangeMin,ageRangeMax,targetContrast,measuredTargetContrast,meanContrast,stdContrast,meanAbsContrast,stdAbsContrast,minContrast,maxContrast,expectedValue
LCone,558.90,-10.00,10.00,1.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00306,0.00259,0.00162,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,1.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00216,0.00333,0.00211,-0.00065,0.00771,0.00328
SCone,420.70,-10.00,10.00,1.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00614,0.00554,0.00357,-0.01322,0.00919,0.00447
Melanopsin,480.00,-10.00,10.00,1.00,1.00,80.00,0.20000,0.20141,0.19482,0.00780,0.20118,0.00780,0.18566,0.21547,0.20126
LCone,558.90,-10.00,10.00,2.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00309,0.00262,0.00164,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,2.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00219,0.00333,0.00213,-0.00065,0.00771,0.00328
SCone,420.70,-10.00,10.00,2.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00619,0.00558,0.00359,-0.01322,0.00919,0.00447
Melanopsin,480.00,-10.00,10.00,2.00,1.00,80.00,0.20000,0.20141,0.19482,0.00787,0.20118,0.00787,0.18566,0.21547,0.20126
LCone,558.90,-10.00,10.00,3.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00311,0.00264,0.00165,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,3.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00221,0.00334,0.00215,-0.00065,0.00771,0.00328
SCone,420.70,-10.00,10.00,3.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00623,0.00561,0.00360,-0.01322,0.00919,0.00447
Melanopsin,480.00,-10.00,10.00,3.00,1.00,80.00,0.20000,0.20141,0.19482,0.00794,0.20117,0.00794,0.18566,0.21547,0.20126
LCone,558.90,-10.00,10.00,4.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00313,0.00266,0.00165,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,4.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00223,0.00334,0.00217,-0.00065,0.00771,0.00328
SCone,420.70,-10.00,10.00,4.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00626,0.00564,0.00361,-0.01322,0.00919,0.00447
Melanopsin,480.00,-10.00,10.00,4.00,1.00,80.00,0.20000,0.20141,0.19482,0.00799,0.20117,0.00799,0.18566,0.21547,0.20126
LCone,558.90,-10.00,10.00,5.00,1.00,80.00,0.00000,-0.00008,0.00250,0.00315,0.00268,0.00166,-0.00524,0.00646,0.00195
MCone,530.30,-10.00,10.00,5.00,1.00,80.00,0.00000,0.00321,-0.00164,0.00223,0.00333,0.00217,-0.00065,0.00771,0.00327
SCone,420.70,-10.00,10.00,5.00,1.00,80.00,0.00000,-0.00256,0.01156,0.00630,0.00567,0.00362,-0.01322,0.00919,0.00447
