Class,NominalLambdaMax,LambdaMaxShiftMin,LambdaMaxShiftMax,targetAge,ageRangeMin,ageRangeMax,targetContrast,measuredTargetContrast,meanContrast,stdContrast,meanAbsContrast,stdAbsContrast,minContrast,maxContrast,expectedValue
MCone,530.30,-10.00,10.00,45.00,1.00,80.00,0.00000,-0.00334,-0.00164,0.00439,0.00449,0.00325,-0.01407,0.00527,0.00348
SCone,420.70,-10.00,10.00,45.00,1.00,80.00,0.00000,0.00353,0.01156,0.01085,0.00971,0.00668,-0.01532,0.02718,0.00573
Melanopsin,480.00,-10.00,10.00,45.00,1.00,80.00,0.20000,0.19816,0.19482,0.01213,0.19742,0.01213,0.17256,0.21994,0.19797
LCone,558.90,-10.00,10.00,46.00,1.00,80.00,0.00000,0.00026,0.00250,0.00484,0.00412,0.00264,-0.00783,0.01120,0.00225
MCone,530.30,-10.00,10.00,46.00,1.00,80.00,0.00000,-0.00360,-0.00164,0.00448,0.00468,0.00345,-0.01476,0.00498,0.00370
SCone,420.70,-10.00,10.00,46.00,1.00,80.00,0.00000,0.00384,0.01156,0.01105,0.00996,0.00695,-0.01515,0.02873,0.00591
Melanopsin,480.00,-10.00,10.00,46.00,1.00,80.00,0.20000,0.19800,0.19482,0.01221,0.19720,0.01221,0.17231,0.21990,0.19780
LCone,558.90,-10.00,10.00,47.00,1.00,80.00,0.00000,0.00029,0.00250,0.00487,0.00415,0.00267,-0.00784,0.01128,0.00227
MCone,530.30,-10.00,10.00,47.00,1.00,80.00,0.00000,-0.00385,-0.00164,0.00458,0.00489,0.00366,-0.01544,0.00470,0.00394
SCone,420.70,-10.00,10.00,47.00,1.00,80.00,0.00000,0.00414,0.01156,0.01127,0.01024,0.00725,-0.01497,0.03031,0.00611
Melanopsin,480.00,-10.00,10.00,47.00,1.00,80.00,0.20000,0.19785,0.19482,0.01231,0.19697,0.01231,0.17207,0.21986,0.19763
LCone,558.90,-10.00,10.00,48.00,1.00,80.00,0.00000,0.00031,0.00250,0.00491,0.00418,0.00269,-0.00786,0.01135,0.00228
MCone,530.30,-10.00,10.00,48.00,1.00,80.00,0.00000,-0.00410,-0.00164,0.00469,0.00512,0.00387,-0.01612,0.00442,0.00418
SCone,420.70,-10.00,10.00,48.00,1.00,80.00,0.00000,0.00446,0.01156,0.01151,0.01055,0.00758,-0.01479,0.03193,0.00633
Melanopsin,480.00,-10.00,10.00,48.00,1.00,80.00,0.20000,0.19769,0.19482,0.01241,0.19672,0.01241,0.17182,0.21981,0.19746
LCone,558.90,-10.00,10.00,49.00,1.00,80.00,0.00000,0.00034,0.00250,0.00494,0.00422,0.00272,-0.00787,0.01143,0.00230
MCone,530.30,-10.00,10.00,49.00,1.00,80.00,0.00000,-0.00434,-0.00164,0.00481,0.00537,0.00409,-0.01679,0.00414,0.00443
SCone,420.70,-10.00,10.00,49.00,1.00,80.00,0.00000,0.00477,0.01156,0.01178,0.01089,0.00794,-0.01460,0.03359,0.00657
Melanopsin,480.00,-10.00,10.00,49.00,1.00,80.00,0.20000,0.19753,0.19482,0.01252,0.19645,0.01252,0.17156,0.21976,0.19728
LCone,558.90,-10.00,10.00,50.00,1.00,80.00,0.00000,0.00037,0.00250,0.00498,0.00426,0.00275,-0.00788,0.01151,0.00232
MCone,530.30,-10.00,10.00,50.00,1.00,80.00,0.00000,-0.00459,-0.00164,0.00494,0.00564,0.00432,-0.01745,0.00386,0.00470
SCone,420.70,-10.00,10.00,50.00,1.00,80.00,0.00000,0.00509,0.01156,0.01207,0.01126,0.00834,-0.01441,0.03529,0.00684
Melanopsin,480.00,-10.00,10.00,50.00,1.00,80.00,0.20000,0.19736,0.19482,0.01263,0.19617,0.01263,0.17091,0.21971,0.19708
LCone,558.90,-10.00,10.00,51.00,1.00,80.00,0.00000,0.00040,0.00250,0.00503,0.00430,0.00279,-0.00790,0.01158,0.00234
MCone,530.30,-10.00,10.00,51.00,1.00,80.00,0.00000,-0.00484,-0.00164,0.00507,0.00593,0.00454,-0.01809,0.00358,0.00498
SCone,420.70,-10.00,10.00,51.00,1.00,80.00,0.00000,0.00542,0.01156,0.01239,0.01167,0.00877,-0.01421,0.03702,0.00714
Melanopsin,480.00,-10.00,10.00,51.00,1.00,80.00,0.20000,0.19720,0.19482,0.01276,0.19588,0.01276,0.16999,0.21966,0.19688
LCone,558.90,-10.00,10.00,52.00,1.00,80.00,0.00000,0.00043,0.00250,0.00507,0.00435,0.00283,-0.00791,0.01166,0.00236
MCone,530.30,-10.00,10.00,52.00,1.00,80.00,0.00000,-0.00509,-0.00164,0.00522,0.00624,0.00476,-0.01873,0.00330,0.00527
SCone,420.70,-10.00,10.00,52.00,1.00,80.00,0.00000,0.00575,0.01156,0.01274,0.01211,0.00924,-0.01401,0.03878,0.00747
Melanopsin,480.00,-10.00,10.00,52.00,1.00,80.00,0.20000,0.19703,0.19482,0.01289,0.19556,0.01289,0.16906,0.21961,0.19666
LCone,558.90,-10.00,10.00,53.00,1.00,80.00,0.00000,0.00046,0.00250,0.00512,0.00440,0.00287,-0.00792,0.01181,0.00238
MCone,530.30,-10.00,10.00,53.00,1.00,80.00,0.00000,-0.00533,-0.00164,0.00536,0.00657,0.00499,-0.01936,0.00302,0.00559
SCone,420.70,-10.00,10.00,53.00,1.00,80.00,0.00000,0.00608,0.01156,0.01311,0.01259,0.00973,-0.01381,0.04062,0.00785
Melanopsin,480.00,-10.00,10.00,53.00,1.00,80.00,0.20000,0.19687,0.19482,0.01304,0.19523,0.01304,0.16810,0.21955,0.19642
LCone,558.90,-10.00,10.00,54.00,1.00,80.00,0.00000,0.00049,0.00250,0.00517,0.00445,0.00292,-0.00793,0.01211,0.00241
MCone,530.30,-10.00,10.00,54.00,1.00,80.00,0.00000,-0.00558,-0.00164,0.00551,0.00691,0.00520,-0.01997,0.00274,0.00592
SCone,420.70,-10.00,10.00,54.00,1.00,80.00,0.00000,0.00642,0.01156,0.01350,0.01310,0.01025,-0.01360,0.04253,0.00826
Melanopsin,480.00,-10.00,10.00,54.00,1.00,80.00,0.20000,0.19670,0.19482,0.01319,0.19489,0.01319,0.16714,0.21949,0.19617
LCone,558.90,-10.00,10.00,55.00,1.00,80.00,0.00000,0.00052,0.00250,0.00523,0.00450,0.00297,-0.00794,0.01242,0.00244
MCone,530.30,-10.00,10.00,55.00,1.00,80.00,0.00000,-0.00582,-0.00164,0.00566,0.00728,0.00542,-0.02058,0.00247,0.00627
SCone,420.70,-10.00,10.00,55.00,1.00,80.00,0.00000,0.00676,0.01156,0.01391,0.01366,0.01080,-0.01338,0.04447,0.00873
Melanopsin,480.00,-10.00,10.00,55.00,1.00,80.00,0.20000,0.19652,0.19482,0.01335,0.19452,0.01335,0.16615,0.21943,0.19589
LCone,558.90,-10.00,10.00,56.00,1.00,80.00,0.00000,0.00056,0.00250,0.00529,0.00456,0.00302,-0.00796,0.01274,0.00247
MCone,530.30,-10.00,10.00,56.00,1.00,80.00,0.00000,-0.00606,-0.00164,0.00581,0.00766,0.00562,-0.02118,0.00219,0.00664
SCone,420.70,-10.00,10.00,56.00,1.00,80.00,0.00000,0.00711,0.01156,0.01435,0.01426,0.01137,-0.01316,0.04643,0.00925
Melanopsin,480.00,-10.00,10.00,56.00,1.00,80.00,0.20000,0.19635,0.19482,0.01352,0.19413,0.01352,0.16515,0.21937,0.19559
LCone,558.90,-10.00,10.00,57.00,1.00,80.00,0.00000,0.00059,0.00250,0.00535,0.00462,0.00309,-0.00797,0.01306,0.00251
MCone,530.30,-10.00,10.00,57.00,1.00,80.00,0.00000,-0.00631,-0.00164,0.00593,0.00802,0.00579,-0.02166,0.00191,0.00704
SCone,420.70,-10.00,10.00,57.00,1.00,80.00,0.00000,0.00746,0.01156,0.01473,0.01481,0.01189,-0.01293,0.04843,0.00983
Melanopsin,480.00,-10.00,10.00,57.00,1.00,80.00,0.20000,0.19617,0.19482,0.01370,0.19375,0.01370,0.16414,0.21931,0.19526
LCone,558.90,-10.00,10.00,58.00,1.00,80.00,0.00000,0.00063,0.00250,0.00542,0.00468,0.00316,-0.00798,0.01340,0.00255
MCone,530.30,-10.00,10.00,58.00,1.00,80.00,0.00000,-0.00655,-0.00164,0.00599,0.00834,0.00589,-0.02195,0.00164,0.00746
SCone,420.70,-10.00,10.00,58.00,1.00,80.00,0.00000,0.00781,0.01156,0.01500,0.01525,0.01228,-0.01270,0.05035,0.01048
Melanopsin,480.00,-10.00,10.00,58.00,1.00,80.00,0.20000,0.19600,0.19482,0.01388,0.19344,0.01388,0.16311,0.21924,0.19491
LCone,558.90,-10.00,10.00,59.00,1.00,80.00,0.00000,0.00066,0.00250,0.00550,0.00474,0.00323,-0.00798,0.01374,0.00260
MCone,530.30,-10.00,10.00,59.00,1.00,80.00,0.00000,-0.00679,-0.00164,0.00602,0.00863,0.00595,-0.02209,0.00137,0.00791
SCone,420.70,-10.00,10.00,59.00,1.00,80.00,0.00000,0.00817,0.01156,0.01524,0.01567,0.01265,-0.01247,0.05228,0.01118
Melanopsin,480.00,-10.00,10.00,59.00,1.00,80.00,0.20000,0.19582,0.19482,0.01405,0.19316,0.01405,0.16206,0.21917,0.19452
LCone,558.90,-10.00,10.00,60.00,1.00,80.00,0.00000,0.00070,0.00250,0.00557,0.00481,0.00330,-0.00798,0.01410,0.00265
MCone,530.30,-10.00,10.00,60.00,1.00,80.00,0.00000,-0.00703,-0.00164,0.00604,0.00891,0.00599,-0.02222,0.00109,0.00838
SCone,420.70,-10.00,10.00,60.00,1.00,80.00,0.00000,0.00853,0.01156,0.01546,0.01607,0.01299,-0.01223,0.05421,0.01196
Melanopsin,480.00,-10.00,10.00,60.00,1.00,80.00,0.20000,0.19564,0.19482,0.01421,0.19289,0.01421,0.16100,0.21910,0.19411
LCone,558.90,-10.00,10.00,61.00,1.00,80.00,0.00000,0.00083,0.00250,0.00565,0.00487,0.00337,-0.00798,0.01446,0.00271
MCone,530.30,-10.00,10.00,61.00,1.00,80.00,0.00000,-0.00782,-0.00164,0.00604,0.00918,0.00601,-0.02235,0.00082,0.00887
SCone,420.70,-10.00,10.00,61.00,1.00,80.00,0.00000,0.00977,0.01156,0.01565,0.01644,0.01331,-0.01199,0.05614,0.01280
Melanopsin,480.00,-10.00,10.00,61.00,1.00,80.00,0.20000,0.19502,0.19482,0.01437,0.19264,0.01437,0.15993,0.21903,0.19367
LCone,558.90,-10.00,10.00,62.00,1.00,80.00,0.00000,0.00097,0.00250,0.00572,0.00492,0.00344,-0.00798,0.01483,0.00278
MCone,530.30,-10.00,10.00,62.00,1.00,80.00,0.00000,-0.00860,-0.00164,0.00603,0.00945,0.00602,-0.02247,0.00055,0.00938
SCone,420.70,-10.00,10.00,62.00,1.00,80.00,0.00000,0.01105,0.01156,0.01581,0.01680,0.01359,-0.01174,0.05809,0.01370
Melanopsin,480.00,-10.00,10.00,62.00,1.00,80.00,0.20000,0.19438,0.19482,0.01452,0.19239,0.01452,0.15884,0.21895,0.19320
LCone,558.90,-10.00,10.00,63.00,1.00,80.00,0.00000,0.00112,0.00250,0.00578,0.00498,0.00350,-0.00798,0.01522,0.00285
MCone,530.30,-10.00,10.00,63.00,1.00,80.00,0.00000,-0.00938,-0.00164,0.00601,0.00971,0.00601,-0.02247,0.00028,0.00992
SCone,420.70,-10.00,10.00,63.00,1.00,80.00,0.00000,0.01238,0.01156,0.01594,0.01713,0.01384,-0.01149,0.05809,0.01466
Melanopsin,480.00,-10.00,10.00,63.00,1.00,80.00,0.20000,0.19373,0.19482,0.01466,0.19215,0.01466,0.15774,0.21887,0.19270
LCone,558.90,-10.00,10.00,64.00,1.00,80.00,0.00000,0.00128,0.00250,0.00584,0.00503,0.00357,-0.00798,0.01562,0.00292
MCone,530.30,-10.00,10.00,64.00,1.00,80.00,0.00000,-0.01014,-0.00164,0.00600,0.00998,0.00600,-0.02259,0.00001,0.01046
SCone,420.70,-10.00,10.00,64.00,1.00,80.00,0.00000,0.01375,0.01156,0.01608,0.01748,0.01410,-0.01123,0.06003,0.01567
Melanopsin,480.00,-10.00,10.00,64.00,1.00,80.00,0.20000,0.19305,0.19482,0.01479,0.19192,0.01479,0.15663,0.21880,0.19218
LCone,558.90,-10.00,10.00,65.00,1.00,80.00,0.00000,0.00145,0.00250,0.00590,0.00508,0.00362,-0.00798,0.01602,0.00301
MCone,530.30,-10.00,10.00,65.00,1.00,80.00,0.00000,-0.01089,-0.00164,0.00597,0.01024,0.00597,-0.02270,-0.00026,0.01101
SCone,420.70,-10.00,10.00,65.00,1.00,80.00,0.00000,0.01516,0.01156,0.01617,0.01781,0.01432,-0.01097,0.06003,0.01673
Melanopsin,480.00,-10.00,10.00,65.00,1.00,80.00,0.20000,0.19235,0.19482,0.01490,0.19169,0.01490,0.15550,0.21872,0.19163
LCone,558.90,-10.00,10.00,66.00,1.00,80.00,0.00000,0.00162,0.00250,0.00596,0.00512,0.00368,-0.00798,0.01638,0.00309
MCone,530.30,-10.00,10.00,66.00,1.00,80.00,0.00000,-0.01164,-0.00164,0.00593,0.01049,0.00593,-0.02270,-0.00053,0.01157
SCone,420.70,-10.00,10.00,66.00,1.00,80.00,0.00000,0.01661,0.01156,0.01628,0.01816,0.01455,-0.01070,0.06198,0.01783
Melanopsin,480.00,-10.00,10.00,66.00,1.00,80.00,0.20000,0.19164,0.19482,0.01500,0.19146,0.01500,0.15535,0.21843,0.19108
LCone,558.90,-10.00,10.00,67.00,1.00,80.00,0.00000,0.00181,0.00250,0.00601,0.00517,0.00374,-0.00798,0.01678,0.00318
MCone,530.30,-10.00,10.00,67.00,1.00,80.00,0.00000,-0.01237,-0.00164,0.00589,0.01075,0.00589,-0.02280,-0.00079,0.01213
SCone,420.70,-10.00,10.00,67.00,1.00,80.00,0.00000,0.01811,0.01156,0.01634,0.01849,0.01474,-0.01043,0.06198,0.01894
Melanopsin,480.00,-10.00,10.00,67.00,1.00,80.00,0.20000,0.19090,0.19482,0.01511,0.19123,0.01511,0.15422,0.21812,0.19051
LCone,558.90,-10.00,10.00,68.00,1.00,80.00,0.00000,0.00201,0.00250,0.00606,0.00521,0.00380,-0.00798,0.01720,0.00327
MCone,530.30,-10.00,10.00,68.00,1.00,80.00,0.00000,-0.01310,-0.00164,0.00584,0.01099,0.00584,-0.02280,-0.00106,0.01268
SCone,420.70,-10.00,10.00,68.00,1.00,80.00,0.00000,0.01964,0.01156,0.01641,0.01883,0.01493,-0.00987,0.06198,0.02007
Melanopsin,480.00,-10.00,10.00,68.00,1.00,80.00,0.20000,0.19015,0.19482,0.01521,0.19099,0.01521,0.15308,0.21786,0.18995
LCone,558.90,-10.00,10.00,69.00,1.00,80.00,0.00000,0.00221,0.00250,0.00610,0.00525,0.00384,-0.00797,0.01737,0.00337
MCone,530.30,-10.00,10.00,69.00,1.00,80.00,0.00000,-0.01381,-0.00164,0.00578,0.01124,0.00578,-0.02280,-0.00132,0.01322
SCone,420.70,-10.00,10.00,69.00,1.00,80.00,0.00000,0.02121,0.01156,0.01648,0.01921,0.01513,-0.00960,0.06393,0.02120
Melanopsin,480.00,-10.00,10.00,69.00,1.00,80.00,0.20000,0.18938,0.19482,0.01528,0.19076,0.01528,0.15302,0.21756,0.18938
LCone,558.90,-10.00,10.00,70.00,1.00,80.00,0.00000,0.00243,0.00250,0.00615,0.00528,0.00390,-0.00795,0.01779,0.00346
MCone,530.30,-10.00,10.00,70.00,1.00,80.00,0.00000,-0.01452,-0.00164,0.00573,0.01151,0.00573,-0.02290,-0.00159,0.01374
SCone,420.70,-10.00,10.00,70.00,1.00,80.00,0.00000,0.02282,0.01156,0.01649,0.01954,0.01527,-0.00933,0.06393,0.02232
Melanopsin,480.00,-10.00,10.00,70.00,1.00,80.00,0.20000,0.18859,0.19482,0.01535,0.19052,0.01535,0.15187,0.21724,0.18882
LCone,558.90,-10.00,10.00,71.00,1.00,80.00,0.00000,0.00265,0.00250,0.00618,0.00531,0.00394,-0.00792,0.01796,0.00356
MCone,530.30,-10.00,10.00,71.00,1.00,80.00,0.00000,-0.01521,-0.00164,0.00566,0.01175,0.00566,-0.02290,-0.00185,0.01424
SCone,420.70,-10.00,10.00,71.00,1.00,80.00,0.00000,0.02446,0.01156,0.01651,0.01991,0.01542,-0.00905,0.06393,0.02342
Melanopsin,480.00,-10.00,10.00,71.00,1.00,80.00,0.20000,0.18778,0.19482,0.01540,0.19028,0.01540,0.15181,0.21690,0.18827
LCone,558.90,-10.00,10.00,72.00,1.00,80.00,0.00000,0.00288,0.00250,0.00621,0.00534,0.00399,-0.00788,0.01838,0.00366
MCone,530.30,-10.00,10.00,72.00,1.00,80.00,0.00000,-0.01589,-0.00164,0.00559,0.01201,0.00559,-0.02290,-0.00212,0.01471
SCone,420.70,-10.00,10.00,72.00,1.00,80.00,0.00000,0.02615,0.01156,0.01653,0.02029,0.01556,-0.00822,0.06393,0.02448
Melanopsin,480.00,-10.00,10.00,72.00,1.00,80.00,0.20000,0.18695,0.19482,0.01546,0.19003,0.01546,0.15066,0.21653,0.18774
LCone,558.90,-10.00,10.00,73.00,1.00,80.00,0.00000,0.00312,0.00250,0.00623,0.00537,0.00403,-0.00784,0.01838,0.00375
MCone,530.30,-10.00,10.00,73.00,1.00,80.00,0.00000,-0.01657,-0.00164,0.00552,0.01227,0.00552,-0.02290,-0.00238,0.01517
SCone,420.70,-10.00,10.00,73.00,1.00,80.00,0.00000,0.02786,0.01156,0.01655,0.02071,0.01571,-0.00794,0.06589,0.02551
Melanopsin,480.00,-10.00,10.00,73.00,1.00,80.00,0.20000,0.18610,0.19482,0.01547,0.18979,0.01547,0.15066,0.21614,0.18723
LCone,558.90,-10.00,10.00,74.00,1.00,80.00,0.00000,0.00337,0.00250,0.00625,0.00539,0.00406,-0.00778,0.01855,0.00384
MCone,530.30,-10.00,10.00,74.00,1.00,80.00,0.00000,-0.01723,-0.00164,0.00544,0.01254,0.00544,-0.02290,-0.00264,0.01559
SCone,420.70,-10.00,10.00,74.00,1.00,80.00,0.00000,0.02961,0.01156,0.01649,0.02109,0.01578,-0.00765,0.06589,0.02649
Melanopsin,480.00,-10.00,10.00,74.00,1.00,80.00,0.20000,0.18524,0.19482,0.01549,0.18954,0.01549,0.15061,0.21573,0.18675
LCone,558.90,-10.00,10.00,75.00,1.00,80.00,0.00000,0.00363,0.00250,0.00627,0.00541,0.00410,-0.00771,0.01898,0.00393
MCone,530.30,-10.00,10.00,75.00,1.00,80.00,0.00000,-0.01789,-0.00164,0.00536,0.01282,0.00536,-0.02300,-0.00290,0.01599
SCone,420.70,-10.00,10.00,75.00,1.00,80.00,0.00000,0.03140,0.01156,0.01642,0.02149,0.01583,-0.00667,0.06589,0.02742
Melanopsin,480.00,-10.00,10.00,75.00,1.00,80.00,0.20000,0.18436,0.19482,0.01550,0.18928,0.01550,0.14945,0.21530,0.18628
LCone,558.90,-10.00,10.00,76.00,1.00,80.00,0.00000,0.00389,0.00250,0.00627,0.00542,0.00413,-0.00764,0.01898,0.00401
MCone,530.30,-10.00,10.00,76.00,1.00,80.00,0.00000,-0.01853,-0.00164,0.00526,0.01309,0.00526,-0.02300,-0.00316,0.01636
SCone,420.70,-10.00,10.00,76.00,1.00,80.00,0.00000,0.03321,0.01156,0.01634,0.02192,0.01587,-0.00624,0.06589,0.02830
Melanopsin,480.00,-10.00,10.00,76.00,1.00,80.00,0.20000,0.18346,0.19482,0.01547,0.18902,0.01547,0.14945,0.21485,0.18585
LCone,558.90,-10.00,10.00,77.00,1.00,80.00,0.00000,0.00417,0.00250,0.00626,0.00543,0.00415,-0.00755,0.01898,0.00410
MCone,530.30,-10.00,10.00,77.00,1.00,80.00,0.00000,-0.01916,-0.00164,0.00515,0.01337,0.00515,-0.02300,-0.00342,0.01670
SCone,420.70,-10.00,10.00,77.00,1.00,80.00,0.00000,0.03506,0.01156,0.01625,0.02238,0.01589,-0.00523,0.06589,0.02913
Melanopsin,480.00,-10.00,10.00,77.00,1.00,80.00,0.20000,0.18255,0.19482,0.01544,0.18875,0.01544,0.14945,0.21437,0.18544
LCone,558.90,-10.00,10.00,78.00,1.00,80.00,0.00000,0.00445,0.00250,0.00625,0.00544,0.00417,-0.00746,0.01898,0.00417
MCone,530.30,-10.00,10.00,78.00,1.00,80.00,0.00000,-0.01979,-0.00164,0.00503,0.01365,0.00503,-0.02300,-0.00368,0.01701
SCone,420.70,-10.00,10.00,78.00,1.00,80.00,0.00000,0.03694,0.01156,0.01614,0.02287,0.01588,-0.00482,0.06589,0.02990
Melanopsin,480.00,-10.00,10.00,78.00,1.00,80.00,0.20000,0.18162,0.19482,0.01539,0.18848,0.01539,0.14945,0.21387,0.18506
LCone,558.90,-10.00,10.00,79.00,1.00,80.00,0.00000,0.00474,0.00250,0.00624,0.00545,0.00420,-0.00735,0.01898,0.00425
MCone,530.30,-10.00,10.00,79.00,1.00,80.00,0.00000,-0.02040,-0.00164,0.00490,0.01394,0.00490,-0.02300,-0.00404,0.01730
SCone,420.70,-10.00,10.00,79.00,1.00,80.00,0.00000,0.03885,0.01156,0.01601,0.02340,0.01584,-0.00379,0.06589,0.03062
Melanopsin,480.00,-10.00,10.00,79.00,1.00,80.00,0.20000,0.18067,0.19482,0.01532,0.18819,0.01532,0.14945,0.21338,0.18470
LCone,558.90,-10.00,10.00,80.00,1.00,80.00,0.00000,0.00504,0.00250,0.00622,0.00545,0.00421,-0.00724,0.01898,0.00431
MCone,530.30,-10.00,10.00,80.00,1.00,80.00,0.00000,-0.02100,-0.00164,0.00476,0.01424,0.00476,-0.02300,-0.00439,0.01756
SCone,420.70,-10.00,10.00,80.00,1.00,80.00,0.00000,0.04079,0.01156,0.01586,0.02396,0.01577,-0.00271,0.06589,0.03129
Melanopsin,480.00,-10.00,10.00,80.00,1.00,80.00,0.20000,0.17970,0.19482,0.01525,0.18789,0.01525,0.14945,0.21290,0.18437
